                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 0.6547,                 2.3688,                  1.252,                 1.0636,                0.59635,                0.64928,                 0.7754,                0.55455,                0.67815,                   0.65,                0.82621,                0.48899,                 1.6459,                 2.5847,                 1.3265,                 1.3788,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                0.81744,                  2.169,                 1.4407,                 1.1101,                0.59635,                0.64928,                 0.7754,                0.55455,                0.67815,                   0.65,                0.82621,                0.48899,                 1.6459,                 2.5847,                 1.3265,                 1.3788,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                0.86937,                 2.0736,                 2.1266,                 1.1779,                0.72071,                0.54339,                0.77556,                 0.5585,                0.86936,                 0.6109,                0.83246,                0.44782,                 1.6691,                   2.67,                 1.3937,                 1.3902,             2.1774e-05,             2.1774e-05,             2.1774e-05
                     26,                0.58686,                 1.8783,                 1.2133,                0.99725,                0.72071,                0.54339,                0.77556,                 0.5585,                0.86936,                 0.6109,                0.83246,                0.44782,                 1.6691,                   2.67,                 1.3937,                 1.3902,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                0.77671,                 1.9336,                 1.4248,                 1.1807,                0.70912,                0.48563,                0.73382,                0.49789,                 0.8936,                0.53588,                0.80396,                0.43482,                 1.7684,                 2.8271,                 1.3817,                 1.4699,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     28,                0.81278,                 1.8715,                 1.0984,                 1.1107,                0.70912,                0.48563,                0.73382,                0.49789,                 0.8936,                0.53588,                0.80396,                0.43482,                 1.7684,                 2.8271,                 1.3817,                 1.4699,             2.3542e-05,             2.3542e-05,             2.3542e-05
                     29,                0.72661,                 1.8926,                  1.374,                  1.068,                0.59756,                0.51251,                0.70609,                0.48878,                0.90181,                0.53249,                0.79294,                0.43366,                 1.8268,                 2.8804,                 1.3619,                 1.5516,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     30,                0.82605,                 1.8819,                 1.1349,                 1.1314,                0.59756,                0.51251,                0.70609,                0.48878,                0.90181,                0.53249,                0.79294,                0.43366,                 1.8268,                 2.8804,                 1.3619,                 1.5516,             2.4602e-05,             2.4602e-05,             2.4602e-05
                     31,                0.84257,                 2.4391,                 1.6239,                 1.1566,                0.68742,                0.48522,                0.70994,                0.48156,                0.74906,                 0.3646,                 0.6275,                0.41723,                 1.8263,                 2.9942,                 1.3751,                 1.5553,             2.5097e-05,             2.5097e-05,             2.5097e-05
                     32,                0.61049,                 1.7499,                 1.1376,                 1.0979,                0.68742,                0.48522,                0.70994,                0.48156,                0.74906,                 0.3646,                 0.6275,                0.41723,                 1.8263,                 2.9942,                 1.3751,                 1.5553,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                0.86812,                 1.9377,                 1.6054,                 1.1285,                0.69188,                0.48802,                0.62411,                0.40681,                0.74645,                0.36467,                0.54426,                0.34243,                 1.8565,                 3.0579,                 1.4099,                 1.5732,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                0.77225,                 1.9398,                 1.4933,                 1.1004,                0.69188,                0.48802,                0.62411,                0.40681,                0.74645,                0.36467,                0.54426,                0.34243,                 1.8565,                 3.0579,                 1.4099,                 1.5732,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                0.77661,                 1.5446,                 1.0053,                 1.0778,                0.67051,                0.50241,                0.67583,                0.40697,                0.74434,                0.36474,                0.54458,                0.33545,                 1.8686,                 3.0944,                 1.4431,                  1.581,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                0.75133,                 2.0143,                 1.3863,                 1.1327,                0.67051,                0.50241,                0.67583,                0.40697,                0.74434,                0.36474,                0.54458,                0.33545,                 1.8686,                 3.0944,                 1.4431,                  1.581,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                0.73868,                 2.1242,                0.87761,                 1.0829,                0.70153,                0.49881,                0.57728,                 0.3739,                0.74005,                0.36463,                0.51732,                0.31069,                 1.8815,                 3.1259,                 1.4803,                 1.5858,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                0.59093,                 1.5007,                0.89943,                0.94563,                0.70153,                0.49881,                0.57728,                 0.3739,                0.74005,                0.36463,                0.51732,                0.31069,                 1.8815,                 3.1259,                 1.4803,                 1.5858,             2.7902e-05,             2.7902e-05,             2.7902e-05
